Date,Site Name,Status,Overpassing Time (Local),Overpassing Time (UTC),Overpassing Satellite,Detected Emission Rate in kg/hr,Detected Emission Rate Low in kg/hr,Detected Emission Rate High in kg/hr,Latitude (source location),Longitude (source location),Cloud Cover in %,Wind Speed in m/s,Wind Direction in °
2024-10-28,BOTSFORD -25- BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,BRADLEY 200 (3WP),OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,84.0,,
2024-10-28,BRADLEY/BRADLEY 2 101/102/103 (3WP),OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,84.0,,
2024-10-28,BRADY 56 BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BREEDLOVE MABEE 2,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,39.0,,
2024-10-28,BRIGHAM 3-10 1H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BRONZE 6-15 BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BROOKS CTB,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,94.0,,
2024-10-28,BROWN & MARTIN H BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,23.0,,
2024-10-28,BROWN 13 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,55.00000000000001,,
2024-10-28,BROWN 23 BATTERY,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,BRUNSON B5 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,BRUNSON BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,BRUNSON C & E BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,BRUNSON J BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,BUCK (AK) 1LB/2LA/3LL/4UL (4WP),OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,96.0,,
2024-10-28,BUCK (AK) 5LB/6LA/7LL/8UL (4WP),OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,96.0,,
2024-10-28,BUSH VIPER BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BUSHMASTER BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BUSHWACKER BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BUTTE BATTERY,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,CABERNET BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,23.0,,
2024-10-28,CALVERLEY 12 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,CALVERLEY 24 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,CALVERLEY 27 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,CALVERLEY 30 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,CALVERLEY 4 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,CALVERLEY B BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,CALVERLEY BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,CAMPBELL 0103 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,84.0,,
2024-10-28,CAMPBELL 83 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,96.0,,
2024-10-28,CAMPBELL B BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,96.0,,
2024-10-28,CAMPBELL BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,96.0,,
2024-10-28,CAMPBELL WEST BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,96.0,,
2024-10-28,CAMPBELL WEST SN 134-321 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,83.0,,
2024-10-28,CANYONLAND H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,CARPENTER/STEELHEAD BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,CASPIAN 19-20 1WA (1WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,CASPIAN 19-20 3WA/4TO (2WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,CASPIAN BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,CASTLE 2X BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,99.0,,
2024-10-28,CATALINA MIXER H BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,39.0,,
2024-10-28,CENTRAL BATTERY,OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,12.0,,
2024-10-28,CHABLIS /BLOCK HA 7 (10WP),OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,39.0,,
2024-10-28,CHABLIS 1&2 (4WP),OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,39.0,,
2024-10-28,CHABLIS 3&4 (4WP),OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,39.0,,
2024-10-28,CHABLIS BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,39.0,,
2024-10-28,CHAMONIX PAD 1 (6WP),OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,96.0,,
2024-10-28,CHAMONIX WEST PAD 1 (5WP),OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,96.0,,
2024-10-28,CHAMONIX/JOHN FRANKLIN (6WP),OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,96.0,,
2024-10-28,"CHARDONNAY 9 1WA, 1JM, 2WAM 2LS & 2MS SL PAD SITE",OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,23.0,,
2024-10-28,CHARDONNAY 9 3JM LU,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,23.0,,
2024-10-28,CHARLIN 3946 (4WP),OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,21.0,,
2024-10-28,CHECKERS STATE BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,CLARENCE SCHARBAUER 34 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,28.999999999999996,,
2024-10-28,CLARK - BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,CLARK CATTAIL BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,20.0,,
2024-10-28,CLARK LC ESTATE BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,COBRA NORTH H BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,COBRA SOUTH H BATTERY,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,COLDBLOOD BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,COLE 6 CTB,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,94.0,,
2024-10-28,COLE RANCH -35- (113) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,COLE RANCH -40- (115) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,COLE RANCH -41- (116) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,COLE RANCH -44- (117) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,COLE RANCH -45- (118) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,COLLINGSWORTH 3625 A/B 002/202/102 H (3WP),OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,12.0,,
2024-10-28,COLLINGSWORTH 3625 C/D 101/201/001 H (3WP),OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,12.0,,
2024-10-28,COLLINGSWORTH BATTERY,OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,12.0,,
2024-10-28,COLT BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,CORA CTB,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,99.0,,
2024-10-28,CORSICAN BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,CORSICAN PAD 1 (4WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,COTHAM 21 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,23.0,,
2024-10-28,COURTNEY BATTERY,OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,12.0,,
2024-10-28,COURTNEY COWDEN 1 BATTERY,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,COWDEN 2 BATTERY,OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,0.0,,
2024-10-28,COWDEN BATTERY,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,COWPOKE BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,CP-ACKERLY-19- BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,100.0,,
2024-10-28,CP-BARBER OIL AND GAS BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,CP-PERRY OIL BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,100.0,,
2024-10-28,CROSS 36 A-1 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,91.0,,
2024-10-28,CTL O'BRIEN ET AL BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,23.0,,
2024-10-28,CUMBERLAND 34 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,28.999999999999996,,
2024-10-28,CUMBERLAND BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,28.999999999999996,,
2024-10-28,CUMBERLAND RANCH-SCHARBAUER BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,33.0,,
2024-10-28,D EVANS BATTERY,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,DAISY H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,DAMSELFLY H BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,91.0,,
2024-10-28,DANIEL -10- (146) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,DANIEL -11- (148) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,DANIEL -14- (149) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,DANIEL -16- (150) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,DANIEL -2- (151) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,DANIEL -21- (152) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,DANIEL -21A- (153) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
